A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730)
1945.57,992.41,2051.13,707.77,822.51,1371.58,318.71,315.85,1305.33,159.24,329.5,49.9,75.75,237.65,305.23,60.1,36.52,83.32
2336.77,816.05,2008.33,693.91,848.56,1691.27,373.0,375.11,1339.28,188.68,308.97,62.27,69.3,242.82,277.02,82.78,44.74,77.27
1625.5,1070.13,2472.09,810.33,960.65,1745.17,428.89,436.37,1206.99,226.15,292.57,63.53,68.5,211.82,273.69,88.45,47.47,75.75
2557.95,1594.4,2790.56,1008.17,1128.0,1570.73,488.55,499.64,1339.11,261.84,357.22,77.09,77.36,229.9,315.37,98.09,54.78,84.07
3262.28,1300.3,2948.8,949.85,1114.58,2049.14,501.99,513.2,1482.11,268.53,338.74,77.09,75.75,260.9,307.48,108.3,55.69,86.69
2097.37,1320.23,2705.97,934.14,1075.9,1829.9,475.12,488.59,1331.09,252.92,338.74,73.28,74.96,243.68,315.37,98.9,52.95,82.56
3815.69,1360.08,3657.39,916.59,1206.14,1873.95,496.61,505.16,1446.99,264.07,350.03,77.51,74.14,243.68,302.69,137.78,56.6,86.35
3179.88,1941.98,3328.97,1255.69,1483.21,1711.48,564.87,569.94,2037.02,307.78,508.11,95.3,111.21,311.7,506.84,140.05,73.04,123.46
2603.06,982.45,2954.77,699.45,927.5,1832.77,389.12,401.22,1314.7,214.11,284.34,66.92,66.89,227.32,301.85,135.51,50.21,79.53
2504.18,1109.99,2746.78,848.21,1022.22,2010.21,426.74,432.85,1334.6,220.8,253.54,66.5,64.47,221.29,221.88,91.85,48.39,76.5
1906.54,1130.91,2626.36,882.4,1053.9,1942.8,394.5,403.73,1187.09,211.87,268.92,64.39,66.08,209.24,236.53,86.75,47.47,73.47
1731.42,1024.3,2527.82,839.9,1030.23,1963.79,435.88,444.4,1398.99,225.97,314.1,67.35,71.72,230.76,275.95,91.29,47.47,79.35
2281.25,1092.05,2434.28,665.26,1002.49,1200.88,389.66,396.7,999.78,207.42,247.38,58.45,58.02,166.18,220.76,84.48,42.91,74.23
2152.01,992.41,2379.54,634.77,947.23,1185.16,384.82,388.16,993.93,200.28,250.46,57.61,59.63,171.35,243.28,84.48,40.17,74.23
2025.37,700.37,1913.79,486.01,656.75,971.04,275.72,297.78,646.23,162.37,145.76,44.05,41.1,119.69,162.19,74.28,35.6,53.78
2324.62,1022.31,2462.15,642.16,983.54,1227.09,382.14,388.67,991.58,201.17,250.46,57.61,56.41,169.63,217.38,85.62,41.08,72.71
2322.24,1020.38,2397.12,638.18,950.83,1289.65,396.18,401.38,995.48,205.16,267.48,59.88,59.38,169.55,220.44,85.43,43.0,84.01
2476.42,951.56,2318.84,640.32,753.05,1409.02,395.03,404.23,1038.41,208.76,296.65,59.3,68.5,210.96,362.67,87.32,43.82,81.04
2226.61,836.97,2397.46,579.33,921.97,1275.0,362.25,371.59,971.69,192.25,248.41,54.64,53.99,169.79,204.12,87.89,38.34,70.44
642.74,455.35,964.36,471.23,679.64,715.74,397.72,400.21,1264.36,188.24,202.22,68.62,52.38,141.21,168.95,54.43,35.61,64.38
1805.05,909.71,2140.69,648.43,1009.59,1225.59,391.27,398.71,1150.8,207.86,293.35,59.72,66.89,180.82,241.03,74.28,40.17,81.8
1673.21,944.59,2085.97,694.83,954.54,1367.84,412.23,419.3,1080.75,221.69,273.04,60.99,70.92,176.62,216.25,67.47,41.08,90.13
3110.02,1093.45,2014.16,638.87,767.77,1086.31,440.98,442.26,819.99,198.86,270.18,63.01,58.4,168.9,302.22,110.89,49.78,73.01
3310.98,745.31,2220.31,632.93,1078.27,1312.44,382.14,391.68,1157.82,198.5,281.26,55.91,66.89,162.9,211.01,114.08,55.04,83.32
3477.81,1099.1,2067.17,677.91,848.79,1197.45,445.72,446.45,784.63,226.52,283.0,58.99,60.87,171.85,307.72,112.27,50.72,76.86
1865.77,948.57,2160.6,688.36,1037.22,1259.28,404.71,413.26,1188.26,217.68,302.81,60.99,66.89,177.38,224.14,73.71,41.08,83.32
1307.17,809.08,1949.61,606.13,934.6,1156.71,369.77,374.1,1107.48,196.27,318.21,53.37,66.89,180.82,237.65,71.44,38.34,81.8
1887.46,1052.2,2318.84,684.64,1049.85,1258.53,373.0,360.54,1045.44,180.65,286.39,59.72,63.66,164.46,223.01,74.28,39.26,78.77
1604.68,912.7,1983.45,681.9,961.44,1394.04,407.93,415.78,1108.66,2208.8,288.44,60.15,707.92,172.21,209.49,65.77,41.08,89.38
1276.81,904.73,2324.81,695.76,1143.78,1443.78,360.64,382.14,981.05,207.86,253.53,51.68,69.3,157.57,207.24,72.58,40.17,87.86
1610.76,884.8,2022.26,646.78,995.38,1264.52,379.99,391.18,1189.43,206.53,291.51,58.03,68.5,177.38,218.51,69.17,39.26,84.07
1740.87,953.55,2074.01,684.67,1028.54,1192.65,366.01,382.14,1055.97,207.86,288.28,55.91,63.66,172.21,227.52,73.71,41.08,78.01
1464.17,887.79,1989.42,649.56,1056.95,1313.93,346.13,339.96,1007.97,181.55,275.1,51.25,69.3,161.02,219.63,69.17,37.43,86.35
1080.75,775.2,2068.04,640.32,1068.8,1355.0,391.27,401.27,1132.07,207.86,265.87,57.61,68.5,162.6,208.49,72.01,39.26,87.86
1464.17,887.79,1989.42,649.56,1056.95,1313.93,346.13,339.97,1007.97,181.55,275.1,51.25,69.3,161.08,219.62,69.17,37.43,86.25
2038.38,1063.16,2329.78,722.55,1131.94,1304.95,359.02,376.61,1175.39,200.28,243.28,55.06,64.47,166.18,203.86,80.51,39.26,81.8
1203.95,808.08,2092.92,647.71,1073.53,1369.37,392.88,402.73,1128.56,209.2,267.91,58.03,69.3,163.6,208.37,72.01,40.17,87.86
1273.34,818.04,2011.32,643.09,1041.17,1210.62,418.15,433.36,1178.9,227.04,233.01,63.53,61.25,161.02,202.74,82.22,43.82,78.77
1836.28,961.52,2310.87,693.87,1076.9,1308.8,390.72,401.71,1127.39,211.43,285.36,59.3,66.89,172.21,212.87,75.41,41.08,83.32
1761.68,909.71,2085.96,678.23,1000.91,1252.54,368.89,392.68,917.83,212.77,262.78,53.34,65.78,160.88,211.89,74.28,41.09,82.98
1901.33,971.89,2257.13,676.89,1057.87,1245.9,397.63,400.71,1161.51,208.72,293.67,60.14,66.89,178.21,230.87,77.67,40.17,81.98
2907.21,1178.74,2325.8,815.67,910.13,1629.88,368.7,360.54,1428.26,193.14,343.87,63.96,75.75,264.35,323.25,91.29,48.39,84.83
2675.92,1238.52,2228.27,854.68,904.61,1387.3,396.65,401.22,1267.87,209.2,283.31,67.77,73.33,233.35,297.35,81.65,47.47,81.04
1901.33,971.89,2257.13,676.89,1057.87,1245.9,397.63,400.71,1161.51,208.72,293.67,60.14,66.89,178.21,230.87,77.67,40.17,81.98
2707.15,972.49,2188.46,741.95,887.24,1724.96,374.61,367.07,1359.19,181.55,326.42,63.96,70.92,244.54,278.2,82.22,43.82,78.01
2321.15,1047.22,2188.8,722.55,836.72,1376.82,329.46,328.91,1208.16,168.61,296.65,52.1,69.3,227.32,273.69,60.67,38.34,75.74
2391.41,1095.04,2253.15,827.88,984.33,1528.8,416.0,409.78,1415.45,69.04,81.09,342.86,74.95,242.82,288.34,81.1,46.56,204.73
1433.31,246.34,1383.34,206.97,390.73,1055.64,188.11,207.89,830.03,118.21,235.06,41.09,53.19,191.16,270.32,95.82,36.52,67.41
1209.15,894.77,2000.37,749.35,863.56,1120.03,438.03,422.81,1046.61,202.85,67.35,59.84,164.46,190.35,91.29,119.98,50.21,54.8
2989.92,1322.22,2748.77,951.7,1104.32,1898.65,485.33,493.61,1479.77,258.27,358.24,76.24,77.36,253.15,304.11,96.66,53.86,85.59
3161.66,1267.42,3275.23,932.29,1097.21,1942.08,493.93,506.67,1188.26,262.73,76.24,78.77,233.35,296.22,123.61,140.15,57.52,66.89
2259.97,1204.65,2745.78,911.97,1079.85,1914.37,476.73,486.08,1173.04,249.79,311.02,72.43,70.11,240.24,304.11,100.36,52.98,77.26
2315.95,1284.36,2302.91,872.24,940.13,1108.05,477.27,476.54,1313.53,246.67,339.77,75.39,78.98,208.38,319.87,93.56,51.13,87.86
3139.98,1264.43,3085.15,911.97,1067.22,1957.8,468.13,477.04,1434.11,247.56,335.66,72.85,74.95,254.01,300.73,107.73,52.95,84.07
3812.21,1404.94,3227.46,894.41,998.12,1853.73,483.18,487.09,1366.21,74.55,81.04,71.72,311.99,112.27,54.28,34.14,23.1,255.74
2112.98,994.41,2732.84,672.66,906.98,1347.62,324.09,334.43,871.0,183.78,225.83,52.52,53.99,166.18,221.88,85.05,39.26,68.17
1597.75,924.66,2539.77,579.33,870.67,1219.6,375.15,381.13,838.22,186.45,240.2,53.79,55.61,159.3,233.15,84.48,39.26,69.68
