pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
6.72,0.09,1.05,26.1,444.0,6.14,2.32,11.21,3.08,14.1,2.23,0.84,1.22
6.04,0.17,0.33,81.99,372.0,5.98,0.5,12.93,47.74,37.63,3.28,6.79,1.13
5.35,0.07,0.87,80.59,132.0,3.15,2.49,5.17,14.96,44.53,1.22,1.21,0.98
6.38,0.03,0.48,33.81,221.76,3.4,1.9,11.59,6.38,10.62,1.77,0.99,0.27
8.58,0.04,0.69,38.19,234.08,6.6,5.2,34.1,14.08,3.56,1.56,0.4,0.77
8.6,0.13,0.57,13.14,308.0,16.6,5.1,17.38,19.25,2.49,1.16,0.11,0.19
6.85,0.11,0.64,32.76,109.53,5.9,3.1,26.49,10.32,21.49,2.6,1.67,0.97
6.29,0.06,0.21,56.06,158.21,4.2,1.5,11.59,26.45,17.8,1.19,1.03,0.73
7.49,0.11,0.61,37.49,133.87,4.0,1.2,21.52,7.75,15.7,0.72,1.64,0.89
7.06,0.49,0.78,48.35,480.09,22.1,7.1,12.0,5.22,20.06,1.91,0.44,0.42
7.8,0.48,0.6,21.9,344.68,20.0,11.2,15.75,1.69,12.82,10.38,0.73,0.23
7.08,0.14,0.42,36.26,246.2,3.5,3.8,24.33,4.79,5.97,0.75,0.65,0.83
6.94,0.2,0.88,63.94,295.68,10.16,4.21,14.07,40.54,24.8,2.7,1.24,0.7
7.7,0.25,1.21,63.06,751.52,8.27,3.36,21.52,6.81,15.23,3.28,2.79,0.94
7.95,0.5,0.4,61.49,406.56,7.73,5.18,22.35,18.74,25.87,0.37,1.06,1.06
5.35,0.04,1.0,19.97,36.51,1.5,0.7,14.07,40.68,34.02,1.32,0.53,1.21
4.9,0.06,0.47,10.34,73.02,1.7,1.3,2.48,26.31,16.94,1.42,0.7,0.81
4.98,0.18,0.77,20.15,133.87,3.5,0.8,18.21,61.7,16.28,0.94,0.6,0.77
6.16,0.1,0.98,27.86,462.46,6.7,3.3,24.0,120.77,26.55,0.59,1.2,0.16
6.08,0.26,1.02,22.6,438.12,10.7,2.0,11.59,55.84,52.61,0.43,0.96,0.45
7.61,1.31,1.17,14.69,804.0,60.5,19.25,24.45,12.75,4.01,6.37,0.61,0.42
7.98,0.54,0.48,5.94,111.84,41.75,15.25,14.2,10.27,10.01,1.93,1.29,0.53
8.28,0.45,0.6,10.0,509.4,42.5,9.0,9.47,12.86,19.41,2.95,0.93,0.15
8.48,0.18,0.12,5.31,106.44,74.5,11.25,3.94,15.45,4.11,2.39,0.62,0.55
8.54,0.25,0.54,5.63,590.4,41.0,23.75,9.47,13.7,5.63,1.77,1.97,0.3
5.04,0.07,0.24,37.14,98.56,2.13,0.74,24.83,0.17,7.6,1.48,0.54,0.38
7.97,0.4,0.94,27.15,381.92,6.31,1.9,41.39,0.91,9.2,0.9,0.76,0.46
5.31,0.02,0.35,2.45,714.56,2.3,1.9,28.97,0.31,13.07,0.94,0.61,0.58
6.2,0.11,0.75,55.36,271.04,4.95,2.5,9.93,2.55,25.8,1.96,0.51,0.5
4.73,0.05,0.71,55.36,98.56,3.89,1.01,8.28,19.58,18.75,0.44,0.68,0.09
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
6.08,0.14,0.19,43.45,271.04,13.23,4.6,13.24,125.11,40.71,2.52,2.12,0.89
5.22,0.05,0.67,10.51,160.16,3.19,1.71,6.62,44.73,44.72,5.48,2.93,0.97
5.96,0.13,0.21,14.72,209.44,6.6,3.52,29.8,157.45,50.18,4.34,1.52,1.01
5.76,0.04,0.33,21.72,133.87,2.5,1.5,13.24,42.02,12.85,2.17,1.06,1.01
4.92,0.1,0.18,10.34,182.55,5.1,2.7,7.45,30.02,4.1,4.05,1.94,1.21
5.77,0.07,1.14,37.67,206.89,7.3,2.5,16.56,19.74,36.62,2.32,0.77,1.17
7.78,0.46,0.87,58.45,392.4,8.5,3.0,4.73,3.86,14.5,1.2,2.49,0.38
